t0_epoch,t0_price,t0_direction,t0_delta_steps,t0_delta_time,t0_speed,t0_up_streak,t0_down_streak,t0_last_digit,t0_delta_change,entry_offset,entry_price,t1,t2,t3,buy_win,sell_win
1774722509,7950.2,DOWN,-1.0,886,-0.001129,0,1,2,-2.0,1,7950.3,7950.2,7950.3,7950.2,0,1
1774722509,7950.2,DOWN,-1.0,886,-0.001129,0,1,2,-2.0,2,7950.2,7950.3,7950.2,7950.3,1,0
1774722509,7950.2,DOWN,-1.0,886,-0.001129,0,1,2,-2.0,3,7950.3,7950.2,7950.3,7950.2,0,1
1774722510,7950.3,UP,1.0,1136,0.000880,1,0,3,2.0,1,7950.2,7950.3,7950.2,7950.3,1,0
1774722510,7950.3,UP,1.0,1136,0.000880,1,0,3,2.0,2,7950.3,7950.2,7950.3,7950.2,0,1
1774722510,7950.3,UP,1.0,1136,0.000880,1,0,3,2.0,3,7950.2,7950.3,7950.2,7950.3,1,0
1774722511,7950.2,DOWN,-1.0,894,-0.001119,0,1,2,-2.0,1,7950.3,7950.2,7950.3,7950.2,0,1
1774722511,7950.2,DOWN,-1.0,894,-0.001119,0,1,2,-2.0,2,7950.2,7950.3,7950.2,7950.3,1,0
1774722511,7950.2,DOWN,-1.0,894,-0.001119,0,1,2,-2.0,3,7950.3,7950.2,7950.3,7950.4,1,0
1774722512,7950.3,UP,1.0,1100,0.000909,1,0,3,2.0,1,7950.2,7950.3,7950.2,7950.3,1,0
1774722512,7950.3,UP,1.0,1100,0.000909,1,0,3,2.0,2,7950.3,7950.2,7950.3,7950.4,1,0
1774722512,7950.3,UP,1.0,1100,0.000909,1,0,3,2.0,3,7950.2,7950.3,7950.4,7950.3,1,0
1774722513,7950.2,DOWN,-1.0,849,-0.001178,0,1,2,-2.0,1,7950.3,7950.2,7950.3,7950.4,1,0
1774722513,7950.2,DOWN,-1.0,849,-0.001178,0,1,2,-2.0,2,7950.2,7950.3,7950.4,7950.3,1,0
1774722513,7950.2,DOWN,-1.0,849,-0.001178,0,1,2,-2.0,3,7950.3,7950.4,7950.3,7950.2,0,1
1774722514,7950.3,UP,1.0,1106,0.000904,1,0,3,2.0,1,7950.2,7950.3,7950.4,7950.3,1,0
1774722514,7950.3,UP,1.0,1106,0.000904,1,0,3,2.0,2,7950.3,7950.4,7950.3,7950.2,0,1
